year,tfr,brate_all,brate_1519,brate_2024,brate_2529,brate_3034,brate_3539,brate_4044,brate_whitenh,brate_blacknh,brate_hisp,brate_hsdropout,brate_hsgrad,brate_somecol,brate_colgrad,brate_unmarried,brate_married,pct_unmarried,brate_native_mex,brate_foreign_mex,brate_native_hisp_nonmex,brate_foreign_hisp_nonmex
1980,1.84,68.4,53,115.1,112.9,61.9,19.8,3.9,,,,,,,,29.4,97,18.4,,,,
1981,1.81,67.3,52.2,112.2,111.5,61.4,20,3.8,,,,,,,,29.5,96,18.9,,,,
1982,1.83,67.3,52.4,111.6,111,64.1,21.2,3.9,,,,,,,,30,96.2,19.4,,,,
1983,1.80,65.7,51.4,107.8,108.5,64.9,22,3.9,,,,,,,,30.3,93.6,20.3,,,,
1984,1.81,65.5,50.6,106.8,108.7,67,22.9,3.9,,,,,,,,31,93.1,21,,,,
1985,1.84,66.3,51,108.3,111,69.1,24,4,,,,,,,,32.8,93.3,22,,,,
1986,1.84,65.4,50.2,107.4,109.8,70.1,24.4,4.1,,,,,,,,34.2,90.7,23.4,,,,
1987,1.87,65.8,50.6,107.9,111.6,72.1,26.3,4.4,,,,,,,,36,90,24.5,,,,
1988,1.93,67.3,53,110.2,114.4,74.8,28.1,4.8,,,,,,,,38.5,90.8,25.7,,,,
1989,2.01,69.2,57.3,113.8,117.6,77.4,29.9,5.2,60.5,84.8,104.9,,,,,41.6,91.9,27.1,,,,
1990,2.08,70.9,59.9,116.5,120.2,80.8,31.7,5.5,62.8,89,107.7,,,,,43.8,93.2,28,,,,
1991,2.06,69.3,61.8,115.3,117.2,79.2,31.9,5.5,60.9,87,106.9,,,,,45.2,89.9,29.5,,,,
1992,2.05,68.4,60.3,113.7,115.7,79.6,32.3,5.9,60,84.5,106.1,96.1,73.7,54.9,70.5,45.2,89,30.1,,,,
1993,2.02,67,59,111.3,113.2,79.9,32.7,6.1,58.9,81.5,103.3,97.8,73.3,52.5,70.3,45.3,86.8,31,,,,
1994,2.00,65.9,58.2,109.2,111,80.4,33.4,6.4,58.2,77.5,100.7,91.0,72.1,49.4,71.2,46.9,83.8,32.6,81.5,152.6,63.7,90.2
1995,1.98,64.6,56,107.5,108.8,81.1,34,6.6,57.5,72.8,98.8,91.2,69.7,49.8,71.0,45.1,83.7,32.2,83.9,140.9,70.5,82.3
1996,1.98,64.1,53.5,107.8,108.6,82.1,34.9,6.8,57.1,70.7,97.5,89.0,69.9,51.1,69.7,44.8,83.7,32.4,84.6,148.4,63.5,76.4
1997,1.97,63.6,51.3,107.3,108.3,83,35.7,7.1,56.8,70.3,94.2,93.0,68.0,50.6,72.1,44,84.3,32.4,83.8,140.3,60.8,74.7
1998,2.00,64.3,50.3,108.4,110.2,85.2,36.9,7.4,57.6,70.9,93.2,97.4,69.0,51.3,73.4,44.3,85.7,32.8,82.7,135.4,59.6,78.6
1999,2.01,64.4,48.8,107.9,111.2,87.1,37.8,7.4,57.7,69.9,93,96.2,69.5,51.3,73.5,44.4,86.5,33,79.3,147.9,55.9,75.6
2000,2.06,65.9,47.7,109.7,113.5,91.2,39.7,8,58.5,71.4,95.9,102.3,71.6,51.9,76.7,44.1,87.4,33.2,81.7,148.1,52.2,82.0
2001,2.03,65.1,45,105.6,113.8,91.8,40.5,8.1,57.7,69.1,95.4,100.9,74.4,49.9,73.2,43.7,86.6,33.5,80.3,154.8,47.0,86.3
2002,2.02,65,42.6,103.1,114.7,92.6,41.6,8.3,57.6,67.5,94.7,101.2,73.0,50.7,74.3,43.6,86.9,34,84.4,144.0,45.5,89.3
2003,2.05,66.1,41.1,102.3,116.7,95.7,43.9,8.7,58.9,67.1,95.2,104.6,73.4,51.4,75.8,44.7,88.4,34.6,78.2,133.1,67.1,80.4
2004,2.05,66.4,40.5,101.5,116.5,96.2,45.5,9,58.9,67.1,95.7,108.2,72.2,52.9,76.6,46,88.1,35.8,81.0,130.2,65.5,82.7
2005,2.06,66.7,39.7,101.8,116.5,96.7,46.4,9.1,59,67.2,96.4,109.1,73.7,54.8,74.7,47.2,87.9,36.9,77.1,133.6,74.4,81.8
2006,2.11,68.6,41.1,105.5,118,98.9,47.5,9.4,60.3,70.7,98.3,125.0,72.5,58.3,74.2,50.3,88.7,38.5,75.2,137.2,80.9,86.2
2007,2.12,69.3,41.5,105.4,118.1,100.6,47.6,9.6,61,71.4,97.4,119.0,76.5,61.0,72.5,51.8,89.1,39.7,76.1,131.8,83.1,87.1
2008,2.07,68.1,40.2,101.8,115,99.4,46.8,9.9,60.5,70.8,92.7,120.6,77.4,60.9,69.8,51.8,86.9,40.6,68.9,120.9,79.8,97.2
2009,2.00,66.2,37.9,96.2,111.5,97.5,46.1,10,59.6,68.9,86.5,122.7,72.9,64.0,64.9,49.9,85.6,41,64.7,111.9,86.8,84.2
